Distrito,Tamanho da fila
ALTO DE PINHEIROS,72
BUTANTA,300
ITAIM BIBI,255
JARDIM PAULISTA,35
MORUMBI,387
PINHEIROS,198
RAPOSO TAVARES,1261
RIO PEQUENO,1134
VILA SONIA,1227
CAMPO LIMPO,5761
CAPAO REDONDO,7843
JARDIM ANGELA,9241
JARDIM SAO LUIS,6206
VILA ANDRADE,2320
CIDADE DUTRA,3431
GRAJAU,8722
MARSILAC,341
PARELHEIROS,2592
SOCORRO,187
BRASILANDIA,2731
CACHOEIRINHA,1457
CASA VERDE,715
FREGUESIA DO O,856
LIMAO,589
CIDADE TIRADENTES,982
GUAIANASES,339
LAJEADO,1568
BELA VISTA,425
BOM RETIRO,235
CAMBUCI,192
CONSOLACAO,115
CURSINO,645
IPIRANGA,852
LIBERDADE,272
MOEMA,124
REPUBLICA,52
SACOMA,2422
SANTA CECILIA,362
SAO LUCAS,217
SAUDE,557
SE,324
VILA MARIANA,217
VILA PRUDENTE,397
ARICANDUVA,582
CARRAO,218
CIDADE LIDER,1111
ITAQUERA,1690
JOSE BONIFACIO,719
PARQUE DO CARMO,620
VILA FORMOSA,514
JACANA,1315
MANDAQUI,639
SANTANA,453
TREMEMBE,3853
TUCURUVI,403
VILA GUILHERME,254
VILA MARIA,1155
VILA MEDEIROS,1055
AGUA RASA,287
ARTUR ALVIM,1056
BELEM,279
BRAS,628
CANGAIBA,2250
ERMELINO MATARAZZO,1804
MOOCA,138
PARI,275
PENHA,603
PONTE RASA,1078
TATUAPE,367
VILA MATILDE,556
ANHANGUERA,1488
BARRA FUNDA,65
BRASILANDIA,2731
JAGUARA,596
JAGUARE,612
JARAGUA,2703
LAPA,233
PERDIZES,115
PERUS,939
PIRITUBA,756
SAO DOMINGOS,478
VILA LEOPOLDINA,202
CAMPO BELO,309
CAMPO GRANDE,909
CIDADE ADEMAR,7070
JABAQUARA,2498
PEDREIRA,3809
SANTO AMARO,233
IGUATEMI,3063
SAO MATEUS,1648
SAO RAFAEL,2685
SAPOPEMBA,3685
ITAIM PAULISTA,3728
JARDIM HELENA,2247
LAJEADO,1568
SAO MIGUEL,765
VILA CURUCA,1787
VILA JACUI,1305
VILA MARIA,1155
