Nome_Escola,REDE,NO_DISTRITO,ID_LATITUDE,ID_LONGITUDE,CONVENIADA,TIPO_CONVENIO
AYRES DE MOURA PROFESSOR,PUBLICA,JAGUARA,-46.749711,-23.512274, , 
GAVIAO PEIXOTO BRIGADEIRO,PUBLICA,PERUS,-46.759379,-23.40471, , 
SUZANA DE CAMPOS DONA,PUBLICA,PERUS,-46.755218,-23.407028, , 
NINO PACHECO CASA DA CRIANCA,PRIVADA,SAO SIMAO,-47.5826354,-21.4508222,Sim,Municipal
JOAO SOLIMEO,Publica,FREGUESIA DO O,-46.69828,-23.469388, , 
WALFREDO ARANTES CALDAS PROFESSOR,Publica,BRASILANDIA,-46.67932076,-23.46403053, , 
SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,Publica,ANHANGUERA,-46.792144,-23.438046, , 
JULIO DE FARIA E SOUZA PROFESSOR,Publica,BRASILANDIA,-46.67433,-23.467323, , 
JULIO CESAR DE OLIVEIRA PROFESSOR,Publica,PIRITUBA,-46.74609,-23.481482, , 
RENATO DE ARRUDA PENTEADO PROFESSOR,Publica,BRASILANDIA,-46.702042,-23.458276, , 
JOAO BOEMER JARDIM PROFESSOR,Publica,BRASILANDIA,-46.673593,-23.4604, , 
